Site,Animal,Population,Death,Status
Dabob,839,H,8,0
Dabob,840,H,8,0
Dabob,841,H,8,0
Dabob,842,H,8,0
Dabob,843,H,8,0
Dabob,844,H,8,0
Dabob,845,H,8,0
Dabob,846,H,8,0
Dabob,847,H,8,0
Dabob,848,H,8,0
Dabob,849,H,8,0
Dabob,850,H,8,0
Dabob,851,H,8,0
Dabob,852,H,8,0
Dabob,853,H,8,0
Dabob,854,H,8,0
Dabob,855,H,8,0
Dabob,856,H,8,0
Dabob,857,H,8,0
Dabob,858,H,8,0
Dabob,859,H,8,0
Dabob,860,H,8,0
Dabob,861,H,8,0
Dabob,862,H,8,0
Dabob,863,H,8,0
Dabob,864,H,8,0
Dabob,865,H,8,0
Dabob,866,H,8,0
Dabob,867,H,8,0
Dabob,868,H,8,0
Dabob,869,H,8,0
Dabob,870,H,8,0
Dabob,871,H,8,0
Dabob,872,H,8,0
Dabob,873,H,8,0
Dabob,874,H,8,0
Dabob,875,H,8,0
Dabob,876,H,8,0
Dabob,877,H,8,0
Dabob,878,H,8,0
Dabob,879,H,8,0
Dabob,880,H,8,0
Dabob,881,H,8,0
Dabob,882,H,8,0
Dabob,883,H,8,0
Dabob,884,H,8,0
Dabob,885,H,8,0
Dabob,886,H,8,0
Dabob,887,H,8,0
Dabob,888,H,8,0
Dabob,889,H,8,0
Dabob,890,H,8,0
Dabob,891,H,8,0
Dabob,892,H,8,0
Dabob,893,H,8,0
Dabob,894,H,8,0
Dabob,895,H,8,0
Dabob,896,H,8,0
Dabob,897,H,8,0
Dabob,898,H,8,0
Dabob,899,H,8,0
Dabob,900,H,8,0
Dabob,901,H,8,0
Dabob,902,H,8,0
Dabob,903,H,8,0
Dabob,904,H,8,0
Dabob,905,H,8,0
Dabob,906,H,8,0
Dabob,907,H,8,0
Dabob,908,H,8,0
Dabob,909,H,8,0
Dabob,910,H,8,0
Dabob,911,H,8,0
Dabob,912,H,8,0
Dabob,913,H,8,0
Dabob,914,H,8,0
Dabob,915,H,8,0
Dabob,916,H,8,0
Dabob,917,H,8,0
Dabob,918,H,8,0
Dabob,919,H,8,0
Dabob,920,H,8,0
Dabob,921,H,8,0
Dabob,922,H,8,0
Dabob,923,H,8,0
Dabob,924,H,8,0
Dabob,925,H,8,0
Dabob,926,H,8,0
Dabob,927,H,8,0
Dabob,928,H,8,0
Dabob,929,H,8,0
Dabob,930,H,8,0
Dabob,931,H,8,0
Dabob,932,H,8,0
Dabob,933,H,8,0
Dabob,934,H,8,0
Dabob,935,H,8,0
Dabob,936,H,8,0
Dabob,937,H,8,0
Dabob,938,H,8,0
Dabob,939,H,8,0
Dabob,940,H,8,0
Dabob,941,H,8,0
Dabob,942,H,8,0
Dabob,943,H,8,0
Dabob,944,H,8,0
Dabob,945,H,8,0
Dabob,946,H,8,0
Dabob,947,H,8,0
Dabob,948,H,8,0
Dabob,949,H,8,0
Dabob,950,H,8,0
Dabob,951,H,8,0
Dabob,952,H,8,0
Dabob,953,H,8,0
Dabob,954,H,8,0
Dabob,955,H,8,0
Dabob,956,H,8,0
